date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:39	124711/124711	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2006:21:42%20GMT	https://teknify.webflow.io/home-two	/Users/chongcy/websites/Zeoniq1/teknify.webflow.io/home-two.html	(from )
10:11:40	20/20	---MCZ	200	added ('OK')	text/plain	date:Thu,%2011%20Dec%202025%2014:29:15%20GMT	https://teknify.webflow.io/robots.txt		(from )
10:11:41	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Dec%202025%2002:11:41%20GMT	https://fonts.gstatic.com/	/Users/chongcy/websites/Zeoniq1/fonts.gstatic.com/index.html	(from https://teknify.webflow.io/home-two)
10:11:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/Users/chongcy/websites/Zeoniq1/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://teknify.webflow.io/home-two)
10:11:42	316328/316328	---MCZ	200	added ('OK')	text/css	etag:W/%229fa2e168becae467630fffb0502a535d%22	https://cdn.prod.website-files.com/6760feb1dd836b3d80343455/css/teknify.webflow.shared.9fa2e168b.css	/Users/chongcy/websites/Zeoniq1/cdn.prod.website-files.com/6760feb1dd836b3d80343455/css/teknify.webflow.shared.9fa2e168b.css	(from https://teknify.webflow.io/home-two)
10:11:42	1604/1604	---M--	200	added ('OK')	image/jpeg	etag:%22d8699e1ac48e5a4949a1e7e8c166e7ad%22	https://cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd6083c17570aff75682ca_32x32%20%20favicon%20(1).jpg	/Users/chongcy/websites/Zeoniq1/cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd6083c17570aff75682ca_32x32%20%20favicon%20(1).jpg	(from https://teknify.webflow.io/home-two)
10:11:44	19879/19879	---M--	200	added ('OK')	image/jpeg	etag:%2247167405febfeba5d7f5a4b7cb4a2f9b%22	https://cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd607ebe90684a99368b3e_256x256%20%20favicon%20(1).jpg	/Users/chongcy/websites/Zeoniq1/cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd607ebe90684a99368b3e_256x256%20%20favicon%20(1).jpg	(from https://teknify.webflow.io/home-two)
10:11:44	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Dec%202025%2002:11:41%20GMT	https://fonts.googleapis.com/	/Users/chongcy/websites/Zeoniq1/fonts.googleapis.com/index.html	(from https://teknify.webflow.io/home-two)
10:11:45	5910/5910	---M--	200	added ('OK')	image/png	etag:%229d1cae68d1dc871cfcbf8b959a8944d0%22	https://cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd4523073b0cbe76a82b74_dark-logo.png	/Users/chongcy/websites/Zeoniq1/cdn.prod.website-files.com/6760feb1dd836b3d80343455/67bd4523073b0cbe76a82b74_dark-logo.png	(from https://teknify.webflow.io/home-two)
10:11:45	63112/63112	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2007:56:51%20GMT	https://teknify.webflow.io/product/basic-plan	/Users/chongcy/websites/Zeoniq1/teknify.webflow.io/product/basic-plan.html	(from https://teknify.webflow.io/home-two)
